type,date,side,price,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reason
entry,2025-03-10 14:30:00,BUY,79687.4,0.004481798341304365,17.857142857142872,0.007142857142857149,49.99285714285714,77456.1528,86381.1416,,,
exit,2025-03-10 18:45:00,,77456.1528,0.004481798341304365,,0.006942857142857149,57.843057142857155,,,-10.006942857142857,-56.03887999999995,stop_loss
entry,2025-03-11 00:30:00,BUY,76788.6,0.005380547293186122,20.658234693877596,0.008263293877551038,57.83479384897961,74638.51920000001,83238.84240000001,,,
exit,2025-03-11 09:00:00,,81286.5,0.005380547293186122,,0.008747317150951475,102.68544489572807,,,24.192416352870875,117.10785897906703,signal_reversal
entry,2025-03-11 09:00:00,SELL,81286.5,0.009023238342663487,36.673373177045775,0.01466934927081831,102.67077554645725,83562.522,74458.43400000001,,,
exit,2025-03-11 19:00:00,,83562.522,0.009023238342663487,,0.015080091050401223,118.79197965330701,,,-20.552169070196012,-56.041119999999935,stop_loss
entry,2025-03-12 04:30:00,BUY,81619.5,0.010395973270857607,42.42570701903812,0.01697028280761525,118.77500937049939,79334.154,88475.538,,,
exit,2025-03-12 12:30:00,,83591.1,0.010395973270857607,,0.01738021682563171,181.6800370735348,,,20.479320683997287,48.271018028780034,signal_reversal
entry,2025-03-12 12:30:00,SELL,83591.1,0.015524554055697918,64.88572752626251,0.025954291010505007,181.6540827825243,85931.6508,76569.44760000001,,,
exit,2025-03-12 15:00:00,,80900.1,0.015524554055697918,,0.025118759511227346,288.2912665131587,,,41.75145620437187,64.34613249496657,signal_reversal
entry,2025-03-12 15:00:00,BUY,80900.1,0.025453903422082896,102.96116661184244,0.04118446664473698,288.25008204651397,78634.8972,87695.70840000002,,,
exit,2025-03-14 11:15:00,,83177.5,0.025453903422082896,,0.04234384103780601,449.13762447077005,,,57.92637581241363,56.26041129739008,signal_reversal
entry,2025-03-14 11:15:00,SELL,83177.5,0.038569635888033756,160.40629445384639,0.06416251778153856,449.0734619529885,85506.47,76190.59,,,
exit,2025-03-16 01:45:00,,83828.5,0.038569635888033756,,0.06466469444080075,584.3062587492841,,,-25.173497657550776,-15.69358468335788,signal_reversal
entry,2025-03-16 01:45:00,BUY,83828.5,0.04978755594962871,208.6808066961725,0.083472322678469,584.2227864266056,81481.302,90870.09400000001,,,
exit,2025-03-18 13:30:00,,81481.302,0.04978755594962871,,0.08113509764347188,675.9612062752778,,,-116.94238684750029,-56.038880000000105,stop_loss
entry,2025-03-19 00:45:00,SELL,83069.9,0.05812327125153262,241.41471652688446,0.09656588661075378,675.8646403886671,85395.8572,76092.0284,,,
exit,2025-03-19 18:45:00,,85395.8572,0.05812327125153262,,0.09926973143585491,781.9878459290601,,,-135.29151098649143,-56.04112000000011,stop_loss
entry,2025-03-19 23:30:00,SELL,86843.6,0.06431823958152182,279.2813735460924,0.11171254941843697,781.8761333796416,89275.22080000001,79548.73760000001,,,
exit,2025-03-20 07:15:00,,85805.9,0.06431823958152182,,0.11037768867416206,1127.7901664508058,,,66.63265952507177,23.858612079646893,backtest_end
